new_time,sound_pressure_level [dba],indoor_relative_humidity [%],pm2.5 [mu_g/m3],indoor_co2 [ppm],wifi_connected_devices [number],temp_setpoint [Celsius],baromatic_pressure [hPa],outdoor_co2 [ppm],air_temperature [Celsius]
2021-09-07 07:05:00,61.72333145,47.36100006,1.166666627,696.2999878,1,26.6,1004.400024,463.4957275,23.25200081
2021-09-07 07:10:00,60.93999863,47.2563324,1.100000024,694.333313,1,26.7,1004.400024,463.4892273,23.23833275
2021-09-07 07:15:00,63.5178566,47.15142822,1.071428537,691.25,1,26.7,1004.599976,463.6827698,23.27392769
2021-09-07 07:20:00,65.21333313,47.04333496,1.166666627,699.5666504,1,26.5,1004.599976,463.4924622,23.24833298
2021-09-07 07:25:00,63.32333374,46.94633484,1.266666651,701.666687,1,26.4,1004.599976,463.0960083,23.25600052
2021-09-07 07:30:00,61.43333435,46.92833328,1.166666627,710.0999756,1,26.3,1004.599976,464.89505,23.23533249
2021-09-07 07:35:00,63.12413788,46.94861984,1.172413826,710.4483032,1,26.3,1004.599976,463.6956787,23.1993103
2021-09-07 07:40:00,65.50645447,46.94387054,1.032258034,708.3225708,1,26.2,1004.799988,463.4974976,23.20967674
2021-09-07 07:45:00,65.26000214,46.82733154,1.133333325,709.2000122,1,26.1,1004.900024,464.2986145,23.19133377
2021-09-07 07:50:00,64.98666382,46.81033325,1.166666627,710.9000244,1,26.1,1005.099976,464.6951294,23.15266609
2021-09-07 07:55:00,62.93000031,46.79333496,1.133333325,712.7666626,1,26.2,1005.200012,464.10849,23.14566612
2021-09-07 08:00:00,64.34516144,46.60806274,1.290322542,712.3548584,1,26.2,1005.200012,465.2755432,23.21257973
2021-09-07 08:05:00,63.73928452,46.58392715,1.25,714.8571167,1,26.3,1005.299988,465.0917664,23.20214272
2021-09-07 08:10:00,68.12000275,46.42066574,1.100000024,711.7999878,1,26.3,1005.299988,465.0885315,23.26833344
2021-09-07 08:15:00,63.62666702,46.52833176,1.166666627,713.5333252,1,26.3,1005.400024,464.4953003,23.19033241
2021-09-07 08:20:00,63.68999863,46.33733368,1.100000024,715.5333252,1,26.3,1005.400024,464.6983948,23.24766731
2021-09-07 08:25:00,63.43000031,46.48300171,1.333333373,722.2999878,1,26.3,1005.599976,465.2820129,23.22733307
2021-09-07 08:30:00,62.22413635,46.43103409,1.241379261,722.0,1,26.3,1005.700012,464.0995483,23.21586227
2021-09-07 08:35:00,63.70333481,46.47200012,1.5,721.4000244,1,25.8,1005.700012,464.1116028,23.23900032
2021-09-07 08:40:00,61.10333252,46.50500107,1.333333373,719.6333618,1,24.9,1005.700012,464.8918762,23.22366714
2021-09-07 08:45:00,60.61999893,46.54566574,1.733333349,714.7000122,1,24.1,1005.599976,466.4977722,23.2203331
