Atmospheric Pressure,indoor_relative_humidity [%],air_temperature [Celsius],pm2.5 [mu_g/m3],indoor_co2 [ppm],occupant_count [number],voc [ppb]
57.26,57.71,25.13,2.17,469.67,33,20.0
57.2,57.92,25.13,2.03,471.47,32,20.0
57.12,57.97,25.15,2.07,471.66,26,20.0
57.1,58.13,25.16,2.1,469.77,36,20.0
57.1,58.31,25.15,2.1,468.07,31,20.0
57.12,58.33,25.2,2.17,464.4,34,20.0
57.05,58.54,25.18,2.2,467.27,27,20.0
56.57,58.7,25.19,2.04,468.5,32,20.2142849
56.91,58.8,25.2,2.07,467.77,37,25.06666756
56.94,58.87,25.22,2.0,467.93,34,21.0
57.16,59.14,25.2,2.1,468.37,31,20.0
57.0,59.19,25.22,2.07,469.2,40,20.0
56.74,59.29,25.24,2.13,467.97,29,20.0
56.76,59.38,25.25,2.14,466.07,38,20.0
56.82,59.49,25.28,2.13,465.47,29,20.0
57.02,59.51,25.31,2.1,463.5,35,20.0
57.17,59.74,25.29,1.97,464.83,27,20.0
57.15,59.98,25.28,2.07,463.37,30,20.0
57.19,60.18,25.28,2.07,463.64,32,30.9642849
57.51,60.3,25.28,2.0,463.23,33,27.60000038
57.46,60.39,25.3,2.03,460.93,30,22.39999962
57.54,60.51,25.32,2.1,461.53,31,20.03333282
57.78,60.67,25.31,2.13,462.33,33,20.0
57.77,60.74,25.34,2.1,460.38,29,20.0
57.6,60.88,25.35,1.97,458.67,32,20.0
57.67,60.88,25.39,2.03,459.6,24,20.0
57.72,61.08,25.38,2.1,455.77,29,20.0
57.73,61.09,25.43,2.0,454.13,36,20.0
57.31,61.38,25.4,2.14,437.57,34,20.25
57.82,61.56,25.39,2.1,446.87,33,20.26666641
57.88,61.6,25.43,2.03,455.37,37,20.0
57.95,61.83,25.4,2.07,451.87,27,20.0
57.84,61.95,25.44,2.17,453.7,29,20.0
57.86,62.05,25.46,2.21,455.9,41,20.0
57.83,62.13,25.48,2.37,451.37,28,20.0
57.78,62.32,25.47,2.23,452.8,35,20.0
57.8,62.6,25.44,2.33,455.73,40,20.0
57.86,62.65,25.47,2.4,456.03,40,20.0
57.47,62.67,25.5,2.32,453.82,41,21.1428566
57.63,62.79,25.5,2.3,455.53,31,27.66666603
57.73,62.89,25.49,2.2,453.87,35,22.39999962
57.55,62.97,25.5,2.2,456.87,35,20.06666756
57.55,63.24,25.45,2.07,453.6,30,20.0
57.53,63.22,25.48,2.23,453.57,33,20.0
57.61,63.26,25.49,2.21,449.86,38,20.0
57.64,63.33,25.51,2.2,449.03,30,20.0
57.66,63.32,25.54,2.07,448.0,43,20.0
57.52,63.54,25.51,2.1,449.47,35,20.0
57.65,63.64,25.51,2.21,448.52,33,20.0
57.28,63.5,25.57,2.21,448.76,41,26.3103447
57.76,63.66,25.56,2.23,450.6,34,23.79999924
57.64,63.67,25.58,2.17,448.97,37,20.66666603
57.66,63.94,25.54,2.2,450.2,40,20.0
57.64,64.0,25.55,2.33,454.77,35,20.0
57.7,64.04,25.57,2.1,456.59,35,20.0
57.81,64.2,25.55,2.27,453.23,30,20.0
57.73,64.19,25.58,2.13,453.77,40,20.0
57.79,64.18,25.61,2.17,453.73,38,20.0
57.77,64.3,25.62,2.13,454.73,38,20.0
57.37,64.44,25.61,2.29,451.68,20,23.4285717
57.82,64.48,25.63,2.17,453.97,22,23.20000076
57.72,64.57,25.64,2.3,452.0,26,20.16666603
57.72,64.66,25.64,2.4,449.5,27,20.0
57.69,64.88,25.61,2.17,449.87,19,20.0
57.75,64.89,25.63,2.3,450.7,15,20.0
57.8,64.96,25.63,2.21,447.24,20,20.0
57.72,65.13,25.61,2.3,446.47,28,20.0
57.73,65.13,25.64,2.13,445.07,24,20.0
57.8,65.19,25.64,2.07,448.83,28,20.0
57.51,65.27,25.64,2.21,451.93,24,21.0714283
57.81,65.34,25.65,2.3,452.8,19,23.5
57.89,65.28,25.68,2.2,450.67,27,20.36666679
57.78,65.36,25.68,2.3,449.1,21,20.0
57.86,65.4,25.68,2.13,448.67,30,20.0
57.8,65.46,25.68,2.17,450.27,23,20.0
57.83,65.47,25.69,2.14,448.45,29,20.0
57.88,65.69,25.65,2.1,445.53,18,20.0
58.02,64.97,25.53,2.2,445.0,15,20.0
57.9,60.58,25.06,2.13,443.17,29,20.0
57.76,56.17,24.88,2.14,438.61,18,20.0
58.18,54.84,24.53,2.1,439.0,19,21.83333397
57.89,55.88,24.8,2.1,435.67,22,22.89999962
57.98,56.41,25.09,2.03,437.4,24,21.0
57.83,57.34,25.15,2.1,437.23,17,20.03333282
57.84,58.31,25.11,2.1,436.9,17,20.0
57.93,58.7,25.16,2.1,436.66,28,20.0
57.79,58.97,25.23,2.17,436.4,20,20.0
57.61,59.19,25.32,2.17,433.57,27,20.0
57.47,59.66,25.32,2.1,436.53,16,20.0
57.52,59.93,25.37,2.37,435.27,28,20.0
57.25,60.31,25.39,2.36,435.32,28,26.5714283
57.58,59.86,25.21,2.2,436.53,26,24.10000038
57.75,56.31,24.76,2.33,433.93,21,20.0
57.63,53.36,24.49,2.0,435.63,23,20.0
57.61,51.42,24.26,2.0,432.3,18,20.0
57.75,50.4,24.05,1.9,429.37,28,20.0
57.54,49.87,23.85,1.97,428.86,23,20.0
57.71,49.28,23.71,1.77,425.77,27,20.0
57.65,48.75,23.65,1.9,427.03,21,20.0
57.75,48.34,23.51,1.63,428.17,16,20.0
59.22,48.04,23.44,1.61,428.21,23,21.8214283
58.96,48.0,23.27,1.77,426.27,23,21.83333397
58.11,48.03,23.15,1.67,424.37,30,20.0
58.03,47.95,23.07,1.6,423.7,19,20.0
57.94,47.67,23.08,1.37,422.23,29,20.0
57.93,47.4,23.16,1.4,422.8,20,20.0
58.01,47.22,23.23,1.66,422.93,17,20.0
57.97,47.08,23.26,1.3,425.53,20,20.0
57.94,47.09,23.19,1.47,427.67,26,20.0
58.13,47.03,23.19,1.47,427.4,26,20.0
58.47,47.81,22.89,1.36,421.89,22,20.0
59.83,48.34,22.7,1.43,424.53,27,22.46666718
58.15,48.3,22.69,1.47,429.67,17,20.06666756
57.94,48.3,22.69,1.4,427.6,24,20.0
57.93,48.43,22.67,1.27,426.17,30,20.0
57.94,48.43,22.65,1.43,428.07,30,20.0
58.06,48.31,22.65,1.27,425.53,25,20.0
58.22,48.08,22.69,1.14,426.24,27,20.0
58.32,48.05,22.64,1.07,424.33,22,20.0
58.25,48.1,22.61,1.13,427.13,27,20.0
58.16,48.09,22.58,1.17,430.4,17,20.0
59.69,48.16,22.56,1.04,430.29,19,22.1071434
57.98,48.14,22.55,1.1,426.87,15,20.56666756
57.98,48.13,22.54,1.07,424.07,26,20.0
58.04,48.15,22.52,1.03,428.13,28,20.0
58.01,48.1,22.51,1.1,426.73,15,20.0
58.23,48.09,22.5,1.1,422.73,20,20.0
58.69,48.14,22.51,1.14,420.76,27,22.20689583
58.84,48.15,22.64,1.1,428.63,22,20.73333359
58.45,47.98,23.28,1.17,430.73,15,20.0
58.59,47.88,23.64,1.13,433.07,16,20.0
58.31,48.19,23.89,1.11,433.57,28,23.6071434
58.17,48.67,24.07,1.17,442.93,28,26.70000076
58.06,49.06,24.23,1.33,455.53,28,23.13333321
58.2,49.57,24.37,1.3,466.07,21,20.56666756
58.35,50.16,24.44,1.33,466.27,17,20.0
58.2,50.63,24.55,1.33,469.87,20,20.0
58.22,51.11,24.64,1.59,480.14,24,20.0
58.22,51.52,24.69,1.67,483.6,29,20.0
58.3,51.8,24.78,1.63,485.2,26,20.0
58.42,52.16,24.84,1.9,488.4,18,61.46666718
58.47,52.6,24.89,2.0,492.54,17,21.7857151
58.01,53.05,24.94,2.03,493.33,30,31.5
57.98,53.35,24.98,2.1,491.1,18,25.29999924
57.99,53.54,25.05,2.17,485.77,26,20.73333359
60.47,54.09,25.08,2.17,483.07,26,20.0
61.11,54.33,25.2,2.13,481.37,26,20.0
62.32,54.5,25.31,2.23,492.13,23,20.0
61.6,54.97,25.36,2.45,513.76,26,20.0
61.5,55.35,25.31,2.23,524.4,16,20.0
58.02,55.68,25.3,2.23,537.87,29,20.0
58.2,55.73,25.3,2.14,535.38,27,20.0
57.94,55.78,25.32,2.21,532.45,30,25.3103447
57.98,55.76,25.34,2.17,535.3,23,23.43333244
57.99,55.83,25.35,2.17,532.13,20,20.23333359
57.82,55.7,25.4,2.03,535.13,23,20.0
58.01,55.85,25.38,2.03,534.47,16,20.0
57.88,55.95,25.39,2.13,535.23,15,20.0
57.95,55.94,25.43,2.03,535.24,15,20.0
57.86,55.95,25.47,1.93,538.5,26,20.0
56.15,56.08,25.46,2.07,544.7,15,20.0
56.11,56.29,25.46,2.1,546.2,24,20.0
55.97,56.23,25.48,2.07,543.32,19,21.3928566
56.73,56.42,25.46,2.0,543.07,24,21.16666603
56.62,56.42,25.48,2.07,544.5,26,20.0
56.41,56.53,25.54,2.1,546.57,23,20.0
56.22,56.68,25.52,1.97,548.97,30,20.0
56.1,56.78,25.51,2.0,549.27,18,20.0
56.35,57.06,25.49,2.03,550.87,29,20.0
56.21,57.09,25.5,1.97,549.1,22,20.0
56.3,57.11,25.52,2.0,549.73,20,20.0
56.34,57.03,25.52,1.77,549.4,24,20.0
