Atmospheric Pressure,optimal_relative_humidity [%],air_temperature [Celsius],indoor_co2 [ppm],dry_bulb_temp [Celsius],outdoor_co2 [ppm],occupant_count [number]
56.74,59.29,25.24,467.97,30.1,488.88,38
56.76,59.38,25.25,466.07,30.4,485.69,43
56.82,59.49,25.28,465.47,30.5,488.09,40
57.02,59.51,25.31,463.5,30.9,485.29,36
57.17,59.74,25.29,464.83,31.2,483.89,39
57.15,59.98,25.28,463.37,30.9,487.69,40
57.19,60.18,25.28,463.64,30.8,484.09,40
57.51,60.3,25.28,463.23,30.8,483.29,44
57.46,60.39,25.3,460.93,30.5,481.69,34
57.54,60.51,25.32,461.53,30.5,480.89,37
57.78,60.67,25.31,462.33,30.0,480.69,41
57.77,60.74,25.34,460.38,29.8,479.5,33
57.6,60.88,25.35,458.67,29.8,477.89,32
57.67,60.88,25.39,459.6,29.6,476.49,37
57.72,61.08,25.38,455.77,29.6,478.69,36
57.73,61.09,25.43,454.13,29.6,478.49,39
57.31,61.38,25.4,437.57,29.5,476.69,36
57.82,61.56,25.39,446.87,29.6,476.29,41
57.88,61.6,25.43,455.37,29.4,475.69,44
57.95,61.83,25.4,451.87,29.4,476.09,42
57.84,61.95,25.44,453.7,29.4,475.69,43
57.86,62.05,25.46,455.9,29.4,477.28,43
57.83,62.13,25.48,451.37,29.4,477.89,38
57.78,62.32,25.47,452.8,29.3,476.09,47
57.8,62.6,25.44,455.73,29.3,474.69,45
57.86,62.65,25.47,456.03,29.3,473.89,47
57.47,62.67,25.5,453.82,29.1,474.09,43
57.63,62.79,25.5,455.53,29.0,474.29,40
57.73,62.89,25.49,453.87,28.9,472.29,38
57.55,62.97,25.5,456.87,28.9,473.09,42
57.55,63.24,25.45,453.6,28.9,471.89,39
57.53,63.22,25.48,453.57,28.8,471.89,47
57.61,63.26,25.49,449.86,28.8,471.69,41
57.64,63.33,25.51,449.03,28.8,471.29,45
57.66,63.32,25.54,448.0,28.8,471.29,38
57.52,63.54,25.51,449.47,28.8,472.67,45
57.65,63.64,25.51,448.52,28.9,472.69,39
57.28,63.5,25.57,448.76,29.0,472.09,47
57.76,63.66,25.56,450.6,29.0,472.29,41
57.64,63.67,25.58,448.97,29.1,473.09,46
57.66,63.94,25.54,450.2,29.0,472.09,48
57.64,64.0,25.55,454.77,29.0,472.69,47
57.7,64.04,25.57,456.59,29.0,471.89,46
57.81,64.2,25.55,453.23,29.1,473.29,46
57.73,64.19,25.58,453.77,29.0,472.89,37
57.79,64.18,25.61,453.73,29.0,472.49,37
57.77,64.3,25.62,454.73,29.0,471.69,39
57.37,64.44,25.61,451.68,29.0,473.29,39
57.82,64.48,25.63,453.97,28.9,473.49,44
57.72,64.57,25.64,452.0,28.9,472.89,43
57.72,64.66,25.64,449.5,28.8,470.89,45
57.69,64.88,25.61,449.87,28.8,472.7,36
57.75,64.89,25.63,450.7,28.8,472.29,36
57.8,64.96,25.63,447.24,28.8,471.49,43
57.72,65.13,25.61,446.47,28.8,472.09,45
57.73,65.13,25.64,445.07,28.6,470.69,35
57.8,65.19,25.64,448.83,28.4,471.29,42
57.51,65.27,25.64,451.93,28.3,469.39,44
57.81,65.34,25.65,452.8,28.3,470.49,37
57.89,65.28,25.68,450.67,28.7,469.7,35
57.78,65.36,25.68,449.1,28.7,470.49,41
57.86,65.4,25.68,448.67,28.7,470.69,37
57.8,65.46,25.68,450.27,28.6,470.29,35
57.83,65.47,25.69,448.45,28.6,472.09,45
57.88,65.69,25.65,445.53,28.6,470.89,44
58.02,64.97,25.53,445.0,28.6,471.69,38
57.9,60.58,25.06,443.17,28.6,470.89,25
57.76,56.17,24.88,438.61,28.5,470.89,34
58.18,54.84,24.53,439.0,28.4,472.09,16
57.89,55.88,24.8,435.67,28.3,471.09,25
57.98,56.41,25.09,437.4,28.4,470.29,27
57.83,57.34,25.15,437.23,28.3,470.5,35
57.84,58.31,25.11,436.9,28.3,470.29,27
57.93,58.7,25.16,436.66,28.3,469.69,33
57.79,58.97,25.23,436.4,28.3,468.09,25
57.61,59.19,25.32,433.57,28.3,470.09,27
57.47,59.66,25.32,436.53,28.4,469.89,34
57.52,59.93,25.37,435.27,28.3,470.49,31
57.25,60.31,25.39,435.32,28.3,470.49,30
57.58,59.86,25.21,436.53,28.3,470.49,33
57.75,56.31,24.76,433.93,28.1,469.69,31
57.63,53.36,24.49,435.63,28.2,470.09,15
57.61,51.42,24.26,432.3,28.2,470.29,18
57.75,50.4,24.05,429.37,28.2,469.69,23
57.54,49.87,23.85,428.86,28.1,469.89,15
57.71,49.28,23.71,425.77,28.1,470.09,25
57.65,48.75,23.65,427.03,28.1,468.89,20
57.75,48.34,23.51,428.17,28.1,469.49,20
59.22,48.04,23.44,428.21,28.1,470.09,17
58.96,48.0,23.27,426.27,28.1,469.49,22
58.11,48.03,23.15,424.37,28.2,469.49,18
58.03,47.95,23.07,423.7,28.2,469.89,29
57.94,47.67,23.08,422.23,28.2,471.69,26
57.93,47.4,23.16,422.8,28.2,469.29,16
58.01,47.22,23.23,422.93,28.1,471.29,23
57.97,47.08,23.26,425.53,28.1,470.09,24
57.94,47.09,23.19,427.67,28.0,469.69,23
58.13,47.03,23.19,427.4,28.0,469.49,18
58.47,47.81,22.89,421.89,28.0,469.89,26
59.83,48.34,22.7,424.53,28.0,470.09,20
58.15,48.3,22.69,429.67,28.1,470.29,29
57.94,48.3,22.69,427.6,28.1,469.89,27
57.93,48.43,22.67,426.17,28.0,468.09,20
57.94,48.43,22.65,428.07,28.1,470.09,19
58.06,48.31,22.65,425.53,28.0,468.89,26
58.22,48.08,22.69,426.24,27.9,469.89,15
58.32,48.05,22.64,424.33,27.8,468.89,30
58.25,48.1,22.61,427.13,27.8,469.29,29
58.16,48.09,22.58,430.4,27.2,466.09,24
59.69,48.16,22.56,430.29,26.5,461.7,24
57.98,48.14,22.55,426.87,26.1,457.7,29
57.98,48.13,22.54,424.07,25.9,456.1,25
58.04,48.15,22.52,428.13,25.9,456.7,18
58.01,48.1,22.51,426.73,26.0,457.5,30
58.23,48.09,22.5,422.73,26.0,459.5,24
58.69,48.14,22.51,420.76,26.0,457.3,26
58.84,48.15,22.64,428.63,25.9,459.1,20
58.45,47.98,23.28,430.73,25.9,463.89,17
58.59,47.88,23.64,433.07,25.7,462.1,29
58.31,48.19,23.89,433.57,25.0,461.4,26
58.17,48.67,24.07,442.93,25.0,458.5,15
58.06,49.06,24.23,455.53,24.9,458.1,24
58.2,49.57,24.37,466.07,24.6,456.7,28
58.35,50.16,24.44,466.27,24.6,456.3,27
58.2,50.63,24.55,469.87,24.3,455.9,23
58.22,51.11,24.64,480.14,24.0,455.9,22
58.22,51.52,24.69,483.6,24.0,456.5,17
58.3,51.8,24.78,485.2,24.0,456.7,18
58.42,52.16,24.84,488.4,23.9,457.3,17
58.47,52.6,24.89,492.54,24.0,457.3,18
58.01,53.05,24.94,493.33,24.1,457.7,16
57.98,53.35,24.98,491.1,24.2,457.89,15
57.99,53.54,25.05,485.77,24.2,457.5,16
60.47,54.09,25.08,483.07,24.2,457.1,18
61.11,54.33,25.2,481.37,24.5,457.1,27
62.32,54.5,25.31,492.13,24.5,457.9,26
61.6,54.97,25.36,513.76,24.7,457.5,25
61.5,55.35,25.31,524.4,24.7,458.5,31
58.02,55.68,25.3,537.87,24.9,459.1,25
58.2,55.73,25.3,535.38,25.0,459.7,35
57.94,55.78,25.32,532.45,25.2,459.5,27
57.98,55.76,25.34,535.3,25.2,460.5,28
57.99,55.83,25.35,532.13,25.2,459.3,33
57.82,55.7,25.4,535.13,25.3,460.5,25
58.01,55.85,25.38,534.47,25.5,461.5,32
57.88,55.95,25.39,535.23,25.5,460.9,31
57.95,55.94,25.43,535.24,25.6,461.1,29
57.86,55.95,25.47,538.5,25.6,463.1,25
56.15,56.08,25.46,544.7,25.6,463.5,27
56.11,56.29,25.46,546.2,25.65,463.5,28
55.97,56.23,25.48,543.32,25.7,463.7,32
56.73,56.42,25.46,543.07,25.7,462.9,35
56.62,56.42,25.48,544.5,25.7,464.7,25
56.41,56.53,25.54,546.57,25.7,465.29,35
56.22,56.68,25.52,548.97,25.7,464.5,35
56.1,56.78,25.51,549.27,25.9,465.49,29
56.35,57.06,25.49,550.87,26.0,464.9,34
56.21,57.09,25.5,549.1,26.0,465.69,31
56.3,57.11,25.52,549.73,26.1,465.89,35
56.34,57.03,25.52,549.4,26.2,466.49,33
56.2,56.97,25.57,550.21,26.2,466.69,27
56.35,57.16,25.54,543.83,26.2,466.89,28
56.3,57.2,25.52,546.43,26.2,466.29,31
56.34,57.07,25.54,548.03,26.2,467.49,28
56.42,57.01,25.56,549.9,26.2,466.49,27
56.41,56.9,25.56,550.43,26.2,467.59,32
56.35,57.08,25.55,551.8,26.2,467.49,31
56.39,56.96,25.57,551.1,26.2,468.23,26
56.39,57.03,25.58,550.83,26.2,468.59,28
56.42,57.04,25.56,552.47,26.2,467.29,32
56.27,57.07,25.55,553.25,26.2,467.69,32
56.46,56.96,25.58,550.87,26.15,468.23,25
56.5,56.82,25.58,548.47,26.1,467.69,27
56.83,56.81,25.59,550.9,26.1,467.29,28
56.37,56.79,25.59,555.0,26.0,467.89,25
56.65,56.9,25.57,555.07,26.1,467.29,30
56.55,56.8,25.57,556.43,26.0,467.29,25
56.88,56.92,25.56,557.83,25.93,467.5,25
56.8,56.92,25.56,559.2,25.8,467.09,25
56.36,56.78,25.59,558.13,25.8,467.01,31
56.34,56.68,25.61,555.7,25.8,467.69,32
56.38,56.86,25.54,560.43,25.8,467.49,34
56.29,56.94,25.56,562.5,25.8,467.59,34
56.37,56.9,25.55,562.2,25.9,468.29,29
56.4,57.08,25.54,562.27,25.9,468.09,32
56.45,56.7,25.6,563.5,25.9,465.92,33
56.39,56.82,25.57,567.27,26.0,468.89,27
56.28,56.72,25.6,563.73,26.0,469.49,29
56.35,56.58,25.62,560.66,26.1,469.29,27
56.36,56.62,25.61,556.93,26.1,468.5,34
56.28,56.58,25.6,558.47,26.1,469.49,29
56.21,56.53,25.6,558.29,26.0,468.49,29
56.52,56.66,25.57,556.97,26.1,469.69,32
56.39,56.39,25.62,557.8,26.1,470.49,27
56.61,56.62,25.59,557.63,26.2,471.29,35
56.47,56.65,25.58,556.7,26.2,470.49,27
56.44,56.78,25.57,557.35,26.4,471.69,26
56.37,56.79,25.55,560.3,26.3,472.09,26
56.47,56.87,25.53,562.76,26.6,471.89,32
56.72,56.5,25.59,560.53,26.6,472.29,30
56.31,56.81,25.55,554.97,26.7,473.69,31
56.67,56.55,25.57,555.71,26.7,475.09,32
57.27,56.29,25.61,558.57,26.7,474.49,25
56.67,56.32,25.59,560.53,26.8,475.49,34
55.9,56.35,25.59,557.43,27.0,476.89,29
55.86,56.63,25.54,548.13,27.1,476.89,35
55.81,56.81,25.5,535.03,26.9,477.29,30
55.83,57.07,25.43,524.0,27.2,476.69,31
55.95,56.89,25.44,514.0,27.5,478.29,32
55.95,56.81,25.43,505.24,27.2,476.89,28
55.92,56.69,25.43,498.8,27.4,478.49,32
55.9,56.67,25.38,490.83,27.7,479.69,32
56.12,56.67,25.38,488.14,27.7,480.29,28
55.89,56.67,25.35,483.37,27.5,480.49,29
55.88,56.63,25.35,481.5,27.9,481.29,25
55.89,56.47,25.36,479.03,28.1,483.09,27
55.92,56.48,25.32,475.8,27.9,485.69,33
56.03,56.45,25.3,471.03,28.2,485.47,34
55.87,56.44,25.31,466.23,28.3,486.09,31
55.9,56.16,25.31,464.79,28.0,485.49,36
55.88,56.16,25.24,460.65,28.0,484.89,28
55.89,55.89,25.28,456.0,28.4,485.09,33
56.01,55.96,25.24,455.32,28.6,485.29,34
55.88,55.79,25.25,453.6,28.2,484.69,32
55.91,55.85,25.21,451.27,28.0,485.89,33
55.92,55.77,25.22,448.87,28.2,485.69,35
55.91,55.94,25.18,445.33,28.2,486.09,29
55.87,55.88,25.21,441.1,27.9,485.28,30
55.9,55.95,25.29,441.53,29.0,486.09,28
56.7,56.37,25.28,443.17,28.5,486.48,29
58.33,56.73,25.33,449.53,29.4,486.89,29
57.97,57.24,25.41,456.83,29.4,487.29,29
55.85,56.85,25.59,463.04,29.4,488.69,32
56.25,56.97,25.71,483.57,28.9,486.49,27
56.07,56.95,25.81,491.23,28.3,485.49,28
56.22,57.18,25.84,507.9,29.1,485.29,32
56.17,57.37,25.89,518.47,28.5,484.89,35
56.2,57.67,25.96,525.77,28.3,483.29,37
56.23,57.87,25.99,540.1,28.5,482.09,31
56.05,57.98,26.04,548.2,29.2,486.49,31
56.1,58.21,26.07,556.69,29.1,485.69,32
56.11,58.49,26.09,566.7,29.4,484.29,29
57.18,58.72,26.12,564.28,28.9,485.49,36
55.71,58.76,26.17,567.17,29.1,485.89,29
56.0,58.87,26.21,572.6,28.8,485.99,37
55.88,59.13,26.22,586.17,29.6,487.49,34
56.0,59.17,26.26,591.83,29.5,487.09,35
56.08,59.3,26.31,595.47,29.4,486.29,32
57.47,59.43,26.33,594.13,29.9,488.09,34
57.43,59.58,26.37,597.13,29.5,490.68,34
56.64,59.82,26.35,598.34,29.4,491.08,36
56.07,60.09,26.34,599.9,29.3,489.28,34
56.04,60.39,26.36,607.17,29.3,488.69,38
56.52,60.28,26.39,609.96,29.3,489.88,32
56.0,60.49,26.32,585.48,29.5,487.29,35
56.02,61.14,26.13,556.97,29.2,488.49,30
56.06,61.34,26.11,543.5,29.5,489.08,38
56.11,61.55,26.06,540.33,28.9,489.48,37
56.09,61.55,26.07,538.53,29.07,486.09,32
56.04,61.62,26.05,532.83,28.9,486.09,34
56.06,61.78,26.03,528.2,29.2,486.69,28
56.06,61.96,25.99,525.66,29.2,487.49,28
55.99,62.07,25.99,521.53,29.3,486.49,38
55.66,62.21,25.97,516.96,29.9,489.88,35
56.09,62.3,25.97,513.83,30.0,489.68,34
56.05,62.56,25.91,512.77,30.7,495.08,36
56.05,62.47,25.95,507.43,30.2,495.68,34
56.03,62.61,25.93,504.8,29.8,492.48,31
56.0,62.67,25.94,504.27,29.9,490.48,28
56.02,62.76,25.95,502.9,29.3,488.89,31
55.99,62.94,25.91,501.17,29.8,490.08,37
56.0,63.05,25.91,501.24,29.3,492.48,33
56.01,63.12,25.91,500.83,30.0,491.28,35
55.74,63.17,25.92,497.07,30.4,494.08,32
55.94,63.15,25.94,493.8,29.9,491.48,30
56.02,63.26,25.95,492.7,29.9,493.28,35
55.98,63.28,25.97,493.1,30.1,492.09,38
55.97,63.51,25.93,492.4,30.1,493.28,39
55.95,63.67,25.89,490.63,30.3,494.28,32
55.92,63.72,25.89,489.73,30.3,494.88,29
55.98,63.85,25.9,488.23,29.9,493.48,31
55.96,63.9,25.92,487.1,30.7,496.48,40
55.94,63.92,25.93,483.8,30.8,497.08,35
56.02,64.28,25.86,483.03,29.8,496.08,40
55.72,64.26,25.87,482.46,30.5,491.08,29
56.02,64.46,25.84,481.03,30.3,490.48,45
56.08,64.44,25.87,479.47,30.3,491.08,48
56.05,64.46,25.88,477.3,29.9,488.09,43
56.04,64.57,25.87,475.57,30.2,487.29,35
56.06,64.61,25.88,476.57,29.8,489.68,41
